theta_deg,mode,energy_keV,ff_cm2_g,pp_cm2_g,absorption_cm2_g,scattering_cm2_g,total_cm2_g
5.0,1,0.02953729428214894,4.333545883327497e-6,3.400476282121911e-7,4.673593511539687e-6,2.5893416170708595e-10,4.6738524457013945e-6
5.0,1,0.02989489629173813,4.426810083534353e-6,3.3946911786346256e-7,4.766279201397816e-6,2.6525011833135937e-10,4.766544451516147e-6
5.0,1,0.030256827716067913,4.522221518698532e-6,3.3889155492834743e-7,4.861113073626879e-6,2.717205539264698e-10,4.861384794180805e-6
5.0,1,0.0306231409704813,4.619836317414917e-6,3.383149607763054e-7,4.958151278191223e-6,2.7834927828761916e-10,4.95842962746951e-6
5.0,1,0.030993889104903197,4.719712355762906e-6,3.3773935730184157e-7,5.057451713064748e-6,2.8514019752547573e-10,5.057736853262273e-6
5.0,1,0.03136912581152315,4.821909322929826e-6,3.371647669373225e-7,5.159074089867149e-6,2.9209731667744255e-10,5.159366187183826e-6
5.0,1,0.03174890543257112,4.926488788566528e-6,3.3659121266615274e-7,5.263080001232681e-6,2.9922474240174336e-10,5.263379225975083e-6
5.0,1,0.032133282968187384,5.033514274291839e-6,3.3601871803624096e-7,5.369532992328081e-6,3.065266857597743e-10,5.36983951901384e-6
5.0,1,0.032522314084387716,5.143051320409896e-6,3.354473071740072e-7,5.478498627583903e-6,3.140074650824835e-10,5.478812635048986e-6
5.0,1,0.03291605512112501,5.2551675738133965e-6,3.348770047982963e-7,5.590044578611693e-6,3.2167150894747796e-10,5.59036625012064e-6
5.0,1,0.033314563100448516,5.375785245182654e-6,3.3430783623333965e-7,5.7100930814159935e-6,3.295233592318745e-10,5.7104226047752256e-6
5.0,1,0.03371789573476182,5.493219195615752e-6,3.337398274312053e-7,5.826959023046957e-6,3.375676742940331e-10,5.827296590721252e-6
5.0,1,0.03412611143518083,5.607700320722241e-6,3.3317300497729015e-7,5.940873325699531e-6,3.4580923224071136e-10,5.941219134931772e-6
5.0,1,0.03453926931999293,5.730858503782644e-6,3.3260739610663657e-7,6.06346589988928e-6,3.542529343230001e-10,6.063820152823603e-6
5.0,1,0.034957429223218615,5.856970101656985e-6,3.320430287290514e-7,6.1890131303860365e-6,3.629038084425709e-10,6.189376034194479e-6
5.0,1,0.03538065170327665,5.986092709339743e-6,3.314799314382318e-7,6.3175726407779745e-6,3.7176701278655757e-10,6.317944407790761e-6
5.0,1,0.035808998051754255,6.11835521992588e-6,3.309181335306276e-7,6.449273353456507e-6,3.8084783958740074e-10,6.449654201296094e-6
5.0,1,0.03624253030228344,6.253823773343914e-6,3.303576650228344e-7,6.5841814383667485e-6,3.9015171902214063e-10,6.584571590085771e-6
5.0,1,0.036681311239524755,6.39258890243417e-6,3.2979855666943926e-7,6.722387459103609e-6,3.9968422325504385e-10,6.722787143326864e-6
