 FILTERED output of ioneqmn.
    NRmax =  54,  NTmax =  21
                      thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -7.20   0.2169   1.997   -81.51  68.20   1.00  1.001  0.999 7.39E-04 1.29E-04 0.00E+00 1.40E-02  -9.357  -9.357
 -7.00   0.4168   1.996   -81.51  67.28   1.00  1.001  0.999 8.20E-04 1.50E-04 0.00E+00 1.59E-02  -9.357  -9.357
 -6.80   0.6167   1.996   -81.50  66.36   1.01  1.001  0.999 9.06E-04 1.75E-04 0.00E+00 1.79E-02  -9.357  -9.357
 -6.60   0.8165   1.995   -81.50  65.44   1.01  1.001  0.999 9.96E-04 2.03E-04 0.00E+00 2.02E-02  -9.357  -9.357
 -6.40   1.0164   1.995   -81.50  64.53   1.01  1.002  0.999 1.09E-03 2.37E-04 0.00E+00 2.26E-02  -9.357  -9.357
 -6.20   1.2163   1.994   -81.50  63.61   1.01  1.002  0.999 1.19E-03 2.74E-04 0.00E+00 2.52E-02  -9.356  -9.356
 -6.00   1.4162   1.994   -81.50  62.70   1.01  1.002  0.999 1.30E-03 3.20E-04 0.00E+00 2.80E-02  -9.356  -9.356
 -5.80   1.6161   1.993   -81.50  61.78   1.01  1.002  0.999 1.41E-03 3.70E-04 0.00E+00 3.10E-02  -9.356  -9.356
 -5.60   1.8159   1.992   -81.50  60.87   1.01  1.002  0.999 1.53E-03 4.34E-04 0.00E+00 3.42E-02  -9.356  -9.356
 -5.40   2.0158   1.992   -81.49  59.95   1.02  1.002  0.999 1.65E-03 5.02E-04 0.00E+00 3.73E-02  -9.356  -9.356
 -5.20   2.2157   1.991   -81.49  59.04   1.02  1.002  0.999 1.80E-03 5.92E-04 0.00E+00 4.06E-02  -9.356  -9.356
 -5.00   2.4156   1.991   -81.49  58.13   1.02  1.003  0.999 1.96E-03 7.02E-04 2.66E-19 4.40E-02  -9.356  -9.356
 -4.80   2.6155   1.990   -81.49  57.21   1.03  1.003  0.999 2.12E-03 8.13E-04 1.05E-18 4.75E-02  -9.355  -9.355
 -4.60   2.8154   1.990   -81.49  56.30   1.03  1.003  0.999 2.33E-03 9.75E-04 4.11E-18 5.10E-02  -9.355  -9.355
 -4.40   3.0153   1.989   -81.49  55.39   1.04  1.004  0.999 2.53E-03 1.13E-03 1.61E-17 5.48E-02  -9.355  -9.355
 -4.20   3.2151   1.989   -81.49  54.47   1.05  1.004  0.999 2.81E-03 1.38E-03 6.32E-17 5.85E-02  -9.354  -9.354
 -4.00   3.4150   1.988   -81.49  53.56   1.07  1.005  0.999 3.07E-03 1.61E-03 2.48E-16 6.23E-02  -9.354  -9.354
 -3.80   3.6148   1.987   -81.49  52.65   1.09  1.006  0.999 3.47E-03 1.99E-03 9.69E-16 6.61E-02  -9.353  -9.353
 -3.60   3.8146   1.986   -81.49  51.73   1.12  1.007  0.999 3.84E-03 2.36E-03 3.79E-15 7.01E-02  -9.352  -9.352
 -3.40   4.0143   1.985   -81.49  50.82   1.17  1.010  0.998 4.45E-03 2.99E-03 1.48E-14 7.39E-02  -9.351  -9.351
 -3.20   4.2139   1.983   -81.50  49.90   1.23  1.013  0.998 5.03E-03 3.61E-03 5.78E-14 7.79E-02  -9.349  -9.349
 -3.00   4.4134   1.981   -81.51  48.98   1.35  1.018  0.998 6.07E-03 4.72E-03 2.25E-13 8.22E-02  -9.345  -9.345
 -2.80   4.6128   1.978   -81.52  48.06   1.53  1.026  0.997 7.57E-03 6.29E-03 8.70E-13 8.65E-02  -9.341  -9.341
 -2.60   4.8120   1.975   -81.54  47.13   1.74  1.035  0.996 9.09E-03 7.91E-03 3.36E-12 9.08E-02  -9.334  -9.334
 -2.40   5.0112   1.971   -81.57  46.19   2.12  1.050  0.995 1.20E-02 1.09E-02 1.29E-11 9.57E-02  -9.324  -9.324
 -2.20   5.2100   1.965   -81.61  45.24   2.60  1.069  0.994 1.52E-02 1.43E-02 4.93E-11 9.94E-02  -9.307  -9.307
 -2.00   5.4085   1.958   -81.68  44.27   3.43  1.102  0.991 2.10E-02 2.03E-02 1.86E-10 1.04E-01  -9.286  -9.286
 -1.80   5.6062   1.948   -81.77  43.28   4.49  1.143  0.988 2.78E-02 2.73E-02 7.00E-10 1.07E-01  -9.256  -9.257
 -1.60   5.8033   1.935   -81.92  42.24   6.16  1.210  0.983 3.97E-02 3.93E-02 2.57E-09 1.10E-01  -9.216  -9.216
 -1.40   5.9998   1.920   -82.11  41.16   8.29  1.291  0.976 5.40E-02 5.38E-02 9.29E-09 1.12E-01  -9.164  -9.164
