 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
     5.350    13.300
 -7.40  -1.7828   1.998  -4.828 66.922  1.069  1.001  1.000 5.06E-04 8.44E-05 0.00E+00 8.08E-03 -6.941 -6.941
 -7.20  -1.5829   1.998  -4.827 66.002  1.071  1.001  1.000 5.80E-04 1.01E-04 0.00E+00 9.28E-03 -6.941 -6.941
 -7.00  -1.3829   1.998  -4.827 65.083  1.074  1.001  0.999 6.68E-04 1.27E-04 0.00E+00 1.06E-02 -6.941 -6.941
 -6.80  -1.1831   1.997  -4.826 64.164  1.078  1.001  0.999 7.65E-04 1.55E-04 0.00E+00 1.22E-02 -6.941 -6.941
 -6.60  -0.9832   1.997  -4.826 63.245  1.085  1.002  0.999 8.86E-04 2.01E-04 3.20E-19 1.39E-02 -6.940 -6.940
 -6.40  -0.7833   1.996  -4.826 62.327  1.094  1.002  0.999 1.02E-03 2.52E-04 1.27E-18 1.58E-02 -6.940 -6.940
 -6.20  -0.5835   1.995  -4.826 61.408  1.110  1.003  1.000 1.19E-03 3.39E-04 5.01E-18 1.80E-02 -6.940 -6.940
 -6.00  -0.3836   1.994  -4.826 60.487  1.132  1.003  0.999 1.38E-03 4.41E-04 1.97E-17 2.05E-02 -6.939 -6.939
 -5.80  -0.1838   1.994  -4.827 59.568  1.169  1.005  0.999 1.65E-03 6.16E-04 7.77E-17 2.31E-02 -6.937 -6.937
 -5.60   0.0159   1.993  -4.829 58.647  1.227  1.007  1.001 2.02E-03 8.78E-04 3.06E-16 2.60E-02 -6.935 -6.935
 -5.40   0.2157   1.991  -4.832 57.725  1.311  1.009  0.999 2.45E-03 1.21E-03 1.20E-15 2.92E-02 -6.932 -6.932
 -5.20   0.4154   1.990  -4.839 56.801  1.448  1.013  0.998 3.12E-03 1.78E-03 4.71E-15 3.26E-02 -6.927 -6.927
 -5.00   0.6151   1.989  -4.850 55.873  1.651  1.019  0.998 3.97E-03 2.53E-03 1.84E-14 3.62E-02 -6.919 -6.919
 -4.80   0.8146   1.986  -4.868 54.938  1.978  1.029  0.997 5.34E-03 3.80E-03 7.20E-14 4.01E-02 -6.907 -6.907
 -4.60   1.0141   1.984  -4.896 53.998  2.461  1.043  0.997 7.20E-03 5.56E-03 2.81E-13 4.38E-02 -6.888 -6.889
 -4.40   1.2133   1.980  -4.942 53.038  3.229  1.066  0.995 1.02E-02 8.46E-03 1.09E-12 4.78E-02 -6.861 -6.861
 -4.20   1.4122   1.975  -5.010 52.058  4.367  1.098  0.993 1.44E-02 1.26E-02 4.19E-12 5.18E-02 -6.822 -6.822
 -4.00   1.6106   1.968  -5.119 51.040  6.118  1.149  0.990 2.11E-02 1.92E-02 1.60E-11 5.57E-02 -6.768 -6.769
 -3.80   1.8084   1.958  -5.281 49.973  8.657  1.223  0.986 3.06E-02 2.86E-02 6.01E-11 5.93E-02 -6.697 -6.699
 -3.60   2.0051   1.944  -5.530 48.823 12.373  1.332  0.980 4.52E-02 4.32E-02 2.21E-10 6.26E-02 -6.605 -6.608
 -3.40   2.2003   1.922  -5.893 47.569 17.462  1.484  0.971 6.65E-02 6.45E-02 7.90E-10 6.48E-02 -6.491 -6.496
 -3.20   2.3938   1.893  -6.396 46.185 24.002  1.683  0.960 9.54E-02 9.33E-02 2.73E-09 6.59E-02 -6.355 -6.365
 -3.00   2.5845   1.853  -7.092 44.626 31.859  1.935  0.946 1.36E-01 1.34E-01 8.93E-09 6.53E-02 -6.195 -6.211
 -2.80   2.7726   1.803  -7.980 42.895 40.310  2.218  0.931 1.86E-01 1.84E-01 2.76E-08 6.32E-02 -6.016 -6.043
 -2.60   2.9573   1.741  -9.067 40.996 48.268  2.507  0.916 2.49E-01 2.47E-01 7.90E-08 5.87E-02 -5.820 -5.862
 -2.40   3.1395   1.671 -10.317 38.960 54.512  2.769  0.903 3.20E-01 3.18E-01 2.10E-07 5.32E-02 -5.610 -5.671
 -2.20   3.3192   1.595 -11.673 36.853 57.928  2.966  0.894 3.97E-01 3.95E-01 5.14E-07 4.64E-02 -5.389 -5.471
 -2.00   3.4978   1.518 -13.070 34.738 58.139  3.084  0.889 4.75E-01 4.73E-01 1.17E-06 3.94E-02 -5.162 -5.269
 -1.80   3.6756   1.442 -14.409 32.721 55.982  3.094  0.890 5.51E-01 5.50E-01 2.50E-06 3.19E-02 -4.935 -5.061
 -1.60   3.8539   1.372 -15.656 30.830 51.875  3.020  0.894 6.22E-01 6.21E-01 5.05E-06 2.51E-02 -4.719 -4.857
 -1.40   4.0338   1.310 -16.783 29.085 46.658  2.888  0.902 6.86E-01 6.85E-01 9.75E-06 1.93E-02 -4.519 -4.655
 -1.20   4.2152   1.255 -17.763 27.516 40.929  2.706  0.912 7.41E-01 7.40E-01 1.80E-05 1.44E-02 -4.340 -4.460
 -1.00   4.3986   1.208 -18.613 26.098 35.223  2.504  0.923 7.89E-01 7.88E-01 3.24E-05 1.04E-02 -4.180 -4.278
 -0.80   4.5843   1.169 -19.315 24.851 29.965  2.300  0.933 8.28E-01 8.28E-01 5.66E-05 7.52E-03 -4.029 -4.109
 -0.60   4.7720   1.136 -19.877 23.758 21.940  2.101  0.944 8.61E-01 8.61E-01 9.72E-05 5.17E-03 -3.875 -3.939
 -0.40   4.9617   1.110 -20.355 22.763 21.513  1.926  0.953 8.88E-01 8.88E-01 1.64E-04 3.68E-03 -3.709 -3.756
 -0.20   5.1531   1.088 -20.754 21.858 18.087  1.770  0.961 9.10E-01 9.09E-01 2.72E-04 2.59E-03 -3.533 -3.567
  0.00   5.3459   1.070 -21.076 21.039 15.203  1.632  0.968 9.27E-01 9.27E-01 4.48E-04 1.63E-03 -3.351 -3.377
  0.20   5.5401   1.056 -21.338 20.286 12.891  1.520  0.973 9.41E-01 9.41E-01 7.30E-04 1.17E-03 -3.166 -3.185
  0.40   5.7352   1.044 -21.549 19.593 11.043  1.429  0.978 9.52E-01 9.51E-01 1.18E-03 8.73E-04 -2.977 -2.993
  0.60   5.9312   1.034 -21.723 18.940  9.580  1.357  0.982 9.59E-01 9.59E-01 1.88E-03 7.08E-04 -2.786 -2.800
  0.80   6.1277   1.026 -21.873 18.315  8.440  1.303  0.984 9.64E-01 9.64E-01 2.99E-03 6.90E-04 -2.595 -2.607
  1.00   6.3245   1.018 -22.003 17.715  7.610  1.266  0.985 9.66E-01 9.66E-01 4.68E-03 8.50E-04 -2.402 -2.413
  1.20   6.5215   1.011 -22.125 17.125  7.104  1.251  0.985 9.65E-01 9.65E-01 7.22E-03 1.50E-03 -2.207 -2.218
  1.40   6.7183   1.004 -22.247 16.538  6.920  1.258  0.983 9.60E-01 9.60E-01 1.09E-02 3.06E-03 -2.010 -2.022
  1.60   6.9145   0.995 -22.386 15.939  7.068  1.290  0.979 9.50E-01 9.50E-01 1.58E-02 6.69E-03 -1.810 -1.824
  1.80   7.1098   0.985 -22.552 15.316  7.583  1.354  0.973 9.32E-01 9.32E-01 2.17E-02 1.48E-02 -1.609 -1.625
  2.00   7.3038   0.971 -22.763 14.653  8.456  1.450  0.965 9.06E-01 9.05E-01 2.76E-02 3.17E-02 -1.405 -1.425
  2.20   7.4961   0.954 -23.032 13.939  9.625  1.578  0.956 8.68E-01 8.68E-01 3.10E-02 6.44E-02 -1.200 -1.222
  2.40   7.6865   0.933 -23.367 13.165 10.889  1.730  0.948 8.18E-01 8.18E-01 2.89E-02 1.20E-01 -0.988 -1.013
  2.60   7.8756   0.910 -23.769 12.333 12.038  1.888  0.943 7.56E-01 7.56E-01 2.03E-02 2.00E-01 -0.752 -0.778
  2.80   8.0645   0.887 -24.223 11.455 12.821  2.035  0.946 6.85E-01 6.85E-01 9.39E-03 2.94E-01 -0.442 -0.468
  3.00   8.2551   0.868 -24.710 10.546 13.025  2.164  0.962 6.07E-01 6.07E-01 2.27E-03 3.86E-01  0.010 -0.019
  3.20   8.4504   0.859 -25.202  9.624 12.798  2.267  0.996 5.29E-01 5.29E-01 2.03E-04 4.69E-01  0.790  0.750
  3.40   8.6552   0.868 -25.674  8.696 12.078  2.370  1.060 4.53E-01 4.52E-01 3.82E-06 5.46E-01  1.788  1.734
  3.60   8.8778   0.915 -26.096  7.752 11.077  2.496  1.185 3.84E-01 3.84E-01 6.23E-09 6.15E-01  1.836  1.775
     5.400    13.300
