 FILTERED output of ioneqmn.
    NRmax =  55,  NTmax =  21
                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -7.20   0.2169   1.997    -9.38  64.05   1.01  1.001  0.999 7.37E-04 1.27E-04 0.00E+00 1.40E-02  -7.435  -7.435
 -7.00   0.4168   1.996    -9.38  63.13   1.01  1.001  0.999 8.17E-04 1.48E-04 0.00E+00 1.59E-02  -7.428  -7.428
 -6.80   0.6167   1.996    -9.38  62.22   1.01  1.001  0.999 9.01E-04 1.71E-04 0.00E+00 1.79E-02  -7.421  -7.421
 -6.60   0.8165   1.995    -9.38  61.30   1.01  1.001  0.999 9.91E-04 1.98E-04 0.00E+00 2.02E-02  -7.413  -7.413
 -6.40   1.0164   1.995    -9.38  60.38   1.01  1.002  0.999 1.08E-03 2.29E-04 0.00E+00 2.26E-02  -7.405  -7.405
 -6.20   1.2163   1.994    -9.37  59.47   1.01  1.002  0.999 1.18E-03 2.65E-04 0.00E+00 2.52E-02  -7.396  -7.396
 -6.00   1.4162   1.994    -9.37  58.55   1.01  1.002  0.999 1.29E-03 3.07E-04 0.00E+00 2.80E-02  -7.388  -7.388
 -5.80   1.6161   1.993    -9.37  57.64   1.01  1.002  0.999 1.39E-03 3.55E-04 0.00E+00 3.10E-02  -7.378  -7.378
 -5.60   1.8159   1.992    -9.37  56.72   1.01  1.002  0.999 1.51E-03 4.10E-04 0.00E+00 3.42E-02  -7.369  -7.369
 -5.40   2.0158   1.992    -9.37  55.81   1.01  1.002  0.999 1.62E-03 4.73E-04 0.00E+00 3.73E-02  -7.358  -7.358
 -5.20   2.2157   1.991    -9.37  54.90   1.01  1.002  0.999 1.75E-03 5.47E-04 0.00E+00 4.06E-02  -7.347  -7.347
 -5.00   2.4156   1.991    -9.37  53.98   1.02  1.002  0.999 1.89E-03 6.31E-04 0.00E+00 4.40E-02  -7.336  -7.336
 -4.80   2.6155   1.990    -9.36  53.07   1.02  1.002  0.999 2.03E-03 7.28E-04 0.00E+00 4.75E-02  -7.323  -7.323
 -4.60   2.8154   1.990    -9.36  52.16   1.02  1.003  0.999 2.19E-03 8.40E-04 0.00E+00 5.10E-02  -7.308  -7.308
