 Output of ioneqmn.

                       thermodynamic functions              |        number fractions             lg(opacities)
 lg(R)   lg(P) PV/(NkT)  U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.)  long. transv.
     lg(T)     lg(B)
 -2.80   4.6136   1.982    -2.17  41.76   1.37  1.007  0.999 4.07E-03 2.84E-03 4.70E-17 8.52E-02  -4.573  -4.664
 -2.60   4.8132   1.980    -2.17  40.85   1.38  1.008  0.999 4.42E-03 3.28E-03 1.83E-16 8.96E-02  -4.424  -4.516
 -2.40   5.0129   1.979    -2.17  39.93   1.38  1.008  0.999 4.81E-03 3.79E-03 7.06E-16 9.46E-02  -4.284  -4.371
 -2.20   5.2124   1.976    -2.17  39.02   1.38  1.010  0.999 5.27E-03 4.40E-03 2.74E-15 9.85E-02  -4.148  -4.227
 -2.00   5.4121   1.975    -2.18  38.11   1.39  1.012  0.998 5.82E-03 5.11E-03 1.06E-14 1.03E-01  -4.010  -4.083
 -1.80   5.6111   1.970    -2.18  37.19   1.40  1.014  0.997 6.52E-03 5.99E-03 4.07E-14 1.07E-01  -3.859  -3.926
 -1.60   5.8104   1.967    -2.19  36.28   1.42  1.018  0.996 7.40E-03 7.04E-03 1.56E-13 1.12E-01  -3.699  -3.762
 -1.40   6.0094   1.963    -2.20  35.37   1.44  1.022  0.995 8.56E-03 8.36E-03 5.92E-13 1.17E-01  -3.529  -3.590
 -1.20   6.2072   1.953    -2.22  34.44   1.47  1.028  0.993 1.02E-02 1.01E-02 2.27E-12 1.17E-01  -3.352  -3.411
 -1.00   6.4058   1.947    -2.24  33.52   1.51  1.036  0.992 1.23E-02 1.22E-02 8.43E-12 1.23E-01  -3.171  -3.228
 -0.80   6.6041   1.939    -2.27  32.60   1.58  1.045  0.990 1.50E-02 1.50E-02 3.10E-11 1.28E-01  -2.985  -3.041
 -0.60   6.8019   1.929    -2.31  31.67   1.67  1.058  0.987 1.87E-02 1.86E-02 1.12E-10 1.34E-01  -2.793  -2.848
