 FILTERED output of ioneqmk.
    NRmax =  55,  NTmax =  34
                      thermodynamic functions              |        number fractions            lg(opacities)
 lg(R)   lg(P) PV/(NkT) U/(NkT) S/(Nk) Cv/(Nk)  chit  chir    x(H)    x(H0)    x(H2)   x(pert.) long. transv.
     lg(T)     lg(B)
 -4.80   0.8159   1.992   0.414 52.652  2.199  1.004  0.999 1.53E-03 3.81E-04 5.63E-19 3.09E-02 -3.998 -4.029
 -4.60   1.0157   1.992   0.413 51.733  2.200  1.005  0.999 1.68E-03 4.57E-04 2.21E-18 3.42E-02 -3.829 -3.865
 -4.40   1.2156   1.991   0.412 50.814  2.204  1.005  0.999 1.86E-03 5.56E-04 8.69E-18 3.78E-02 -3.650 -3.687
 -4.20   1.4154   1.990   0.411 49.898  2.210  1.006  0.999 2.06E-03 6.83E-04 3.42E-17 4.12E-02 -3.483 -3.516
 -4.00   1.6152   1.989   0.410 48.979  2.220  1.007  0.999 2.31E-03 8.54E-04 1.34E-16 4.50E-02 -3.312 -3.345
 -3.80   1.8150   1.988   0.407 48.060  2.237  1.008  0.999 2.61E-03 1.09E-03 5.25E-16 4.88E-02 -3.134 -3.164
 -3.60   2.0148   1.987   0.404 47.141  2.263  1.009  0.999 3.01E-03 1.41E-03 2.06E-15 5.27E-02 -2.950 -2.980
 -3.40   2.2145   1.986   0.399 46.220  2.305  1.012  0.999 3.55E-03 1.87E-03 8.04E-15 5.67E-02 -2.763 -2.792
 -3.20   2.4143   1.985   0.392 45.296  2.372  1.015  0.998 4.30E-03 2.54E-03 3.13E-14 6.09E-02 -2.574 -2.603
 -3.00   2.6139   1.983   0.381 44.370  2.476  1.020  0.998 5.37E-03 3.52E-03 1.22E-13 6.50E-02 -2.382 -2.411
 -2.80   2.8133   1.981   0.364 43.439  2.638  1.028  0.997 6.91E-03 4.97E-03 4.73E-13 6.91E-02 -2.188 -2.218
